method,auc,ap,f1
Weighted Avg,0.9205173189928029,0.861532705353177,0.7836107724115994
Stacking (LR),0.9203113329825131,0.8611848613476606,0.7722377478556479
Simple Avg (3 GBDT),0.9200722933411847,0.8608881925405965,0.7826808815846564
LightGBM (tuned),0.9199559584653956,0.860500920092845,0.782314944762316
XGBoost (tuned),0.9195983376544525,0.859853973486908,0.7814658803706824
Rank Avg,0.9190634278736293,0.8592872557916328,0.7781105271593795
Simple Avg (4),0.9190116753785882,0.8588276402046601,0.7795967390883213
CatBoost (tuned),0.9165777671960373,0.8547513500436713,0.777290550517239
MLP,0.9081116647569198,0.840643691826021,0.744183132336872
